Feature,RF_Importance,XGB_Importance,Permutation_Importance,RF_Norm,XGB_Norm,PERM_Norm,Ensemble_Score,Cumulative_Contribution
output_hybrid_lag_71,0.0013848044691709,0.0031504335,0.0010876891717009,0.0013894595659274,0.004349843,0.0005487066853974,0.0020960031281886,0.9716628965133515
upper_atmospheric_radiation_lag_38,0.0001795799098931,0.004129668,0.0001253507091793,5.798680119176493e-05,0.006172384,1.852422994286164e-05,0.0020829650555199,0.9732514778447808
upper_atmospheric_radiation_lag_59,0.0001920063345323,0.003911941,0.0001396483206916,7.171490343025717e-05,0.005767152,2.640123275833711e-05,0.001955089438407,0.9747425343437354
output_hybrid_lag_25,0.0013125290401451,0.0027769473,0.0012277403562839,0.0013096132297682,0.0036547144,0.0006258652775386,0.0018633976494112,0.976163661746252
output_hybrid_lag_23,0.0012556206417149,0.00286451,0.0009560028578642,0.0012467436325539,0.0038176854,0.0004761565630249,0.0018468618698948,0.9775721780727592
surface_radiation_lag_37,0.0002619092440638,0.0036364577,0.0002406814340654,0.0001489401968417,0.005254426,8.206354515347956e-05,0.0018284765939168,0.9789666727976486
output_hybrid_lag_49,0.0013166849152799,0.0026959453,0.0012165711244807,0.0013142044360401,0.0035039545,0.0006197117972678,0.0018126235789977,0.9803490771595815
surface_radiation_lag_48,0.0006459929156375,0.0033207717,0.0004459214208409,0.0005732569303029,0.0046668747,0.00019513669393,0.0018117560916996,0.9817308199289816
surface_radiation_lag_72,0.0007316549616713,0.0031830634,0.0005796804028823,0.0006678921419633,0.0044105733,0.0002688287142531,0.001782431379188,0.9830901980933096
surface_radiation_lag_59,0.0003111653420641,0.0034163436,0.0002528380187801,0.0002033559092329,0.004844752,8.87609891245917e-05,0.0017122896795669,0.9843960824199578
surface_radiation_lag_14,0.0002910383042509,0.0033254602,0.0002235753265018,0.00018112054863,0.0046756007,7.263925373782179e-05,0.0016431201600321,0.9856492143458175
output_hybrid_lag_72,0.0013216804192751,0.0024565423,0.0010505289200898,0.0013197232229454,0.0030583802,0.0005282339367629,0.0016354457914019,0.9868964933848494
